Sr. No.,CCMS NO,Zone,Latitude,Longitude,Type of Light,No. Of Lights,Wattage,Ward No.,Wattage,Connected Load,,,,
1,NZ-133-034,NAJAFGARH,28.553436,76.943382,LED,2,80X2,133,80,160,,,,
2,NZ-133-034,NAJAFGARH,28.553451,76.943354,LED,1,80,133,80,80,,,,
3,NZ-133-034,NAJAFGARH,28.553497,76.943336,LED,1,80,133,80,80,,,1.44MW,
4,NZ-133-034,NAJAFGARH,28.553545,76.943268,LED,1,80,133,80,80,,,,
5,NZ-133-034,NAJAFGARH,28.553674,76.943075,LED,2,80X2,133,80,160,,,,
6,NZ-133-034,NAJAFGARH,28.55369,76.943083,LED,1,80,133,80,80,,,,
7,NZ-133-034,NAJAFGARH,28.553668,76.943113,LED,1,80,133,80,80,,,CCMS NO,Sum of Connected Load
8,NZ-133-034,NAJAFGARH,28.553648,76.943148,LED,1,70,133,70,70,,,,0
9,NZ-133-034,NAJAFGARH,28.553636,76.94316,LED,2,80X2,133,80,160,,,100026,2312
10,NZ-133-034,NAJAFGARH,28.553621,76.943171,LED,1,80,133,80,80,,,100089,6680
11,NZ-133-034,NAJAFGARH,28.553613,76.943192,LED,1,80,133,80,80,,,100091,6752
12,NZ-133-034,NAJAFGARH,28.553589,76.943221,LED,1,80,133,80,80,,,100099,9032
13,NZ-133-034,NAJAFGARH,28.553569,76.943255,LED,1,80,133,80,80,,,100129,10560
14,NZ-133-034,NAJAFGARH,28.553459,76.943395,LED,1,80,133,80,80,,,100135,6664
15,NZ-133-034,NAJAFGARH,28.553465,76.943384,LED,1,80,133,80,80,,,100139,24144
16,NZ-133-034,NAJAFGARH,28.553488,76.943361,LED,1,80,133,80,80,,,100143,8400
17,NZ-133-034,NAJAFGARH,28.553528,76.943295,LED,1,80,133,80,80,,,100144,11744
18,NZ-133-034,NAJAFGARH,28.553558,76.943239,LED,1,80,133,80,80,,,100152,10864
19,NZ-133-034,NAJAFGARH,28.553674,76.943062,LED,1,80,133,80,80,,,100158,7672
20,NZ-133-034,NAJAFGARH,28.55374,76.942949,LED,1,80,133,80,80,,,100166,3550
21,NZ-133-034,NAJAFGARH,28.553785,76.942881,LED,1,80,133,80,80,,,100175,13535
22,NZ-133-034,NAJAFGARH,28.553797,76.942858,LED,1,80,133,80,80,,,100177,2030
23,NZ-133-034,NAJAFGARH,28.553874,76.942735,LED,1,80,133,80,80,,,100186,10450
24,NZ-133-034,NAJAFGARH,28.553888,76.94271,LED,2,80X2,133,80,160,,,100220,6452
25,NZ-133-034,NAJAFGARH,28.554155,76.942298,LED,1,80,133,80,80,,,100223,4232
26,NZ-133-034,NAJAFGARH,28.554198,76.942233,LED,1,80,133,80,80,,,100234,1760
27,NZ-133-034,NAJAFGARH,28.554258,76.942133,LED,1,80,133,80,80,,,100235,3040
28,NZ-133-034,NAJAFGARH,28.554285,76.942094,LED,1,80,133,80,80,,,100242,4180
29,NZ-133-034,NAJAFGARH,28.554311,76.942066,LED,1,80,133,80,80,,,100243,2640
30,NZ-133-034,NAJAFGARH,28.554336,76.942041,LED,1,80,133,80,80,,,100252,3595
31,NZ-133-034,NAJAFGARH,28.554353,76.942016,LED,1,80,133,80,80,,,100260,6400
32,NZ-133-034,NAJAFGARH,28.55437,76.941976,LED,4,72X4,133,72,288,,,100262,1600
33,NZ-133-034,NAJAFGARH,28.554383,76.941951,LED,1,80,133,80,80,,,100266,2120
34,NZ-133-034,NAJAFGARH,28.554392,76.941931,LED,1,80,133,80,80,,,100271,3560
35,NZ-133-034,NAJAFGARH,28.554415,76.941889,LED,1,80,133,80,80,,,100284,3160
36,NZ-133-034,NAJAFGARH,28.554439,76.941877,LED,1,80,133,80,80,,,100303,3520
37,NZ-133-034,NAJAFGARH,28.554474,76.941845,LED,1,80,133,80,80,,,100318,3120
38,NZ-133-034,NAJAFGARH,28.554501,76.941815,LED,1,80,133,80,80,,,100320,2460
39,NZ-133-034,NAJAFGARH,28.554532,76.941779,LED,1,80,133,80,80,,,100323,6022
40,NZ-133-034,NAJAFGARH,28.554543,76.941754,LED,1,80,133,80,80,,,100327,2560
41,NZ-133-034,NAJAFGARH,28.554558,76.94171,LED,1,80,133,80,80,,,100340,3440
42,NZ-133-034,NAJAFGARH,28.554564,76.94169,LED,1,80,133,80,80,,,100351,2480
43,NZ-133-034,NAJAFGARH,28.554584,76.941643,LED,1,80,133,80,80,,,100355,1120
44,NZ-133-034,NAJAFGARH,28.554599,76.941622,LED,1,80,133,80,80,,,100357,7610
45,NZ-133-034,NAJAFGARH,28.554615,76.941593,LED,1,80,133,80,80,,,100362,2560
46,NZ-133-034,NAJAFGARH,28.554633,76.941571,LED,1,80,133,80,80,,,100363,3440
47,NZ-133-034,NAJAFGARH,28.554646,76.941545,LED,1,80,133,80,80,,,100367,8440
48,NZ-133-034,NAJAFGARH,28.554661,76.941522,LED,2,80X2,133,80,160,,,100372,4560
49,NZ-133-034,NAJAFGARH,28.554679,76.94149,LED,1,80,133,80,80,,,100382,3158
50,NZ-133-034,NAJAFGARH,28.55469,76.94147,LED,1,80,133,80,80,,,100387,3480
51,NZ-133-034,NAJAFGARH,28.55473,76.941414,LED,1,80,133,80,80,,,100396,3364
52,NZ-133-034,NAJAFGARH,28.554743,76.941396,LED,1,80,133,80,80,,,100404,3320
53,NZ-133-034,NAJAFGARH,28.554769,76.941363,LED,1,80,133,80,80,,,100405,1440
54,NZ-133-034,NAJAFGARH,28.554792,76.941337,LED,1,80,133,80,80,,,100408,1280
55,NZ-133-034,NAJAFGARH,28.554863,76.941203,LED,1,70,133,70,70,,,100409,3390
56,NZ-133-034,NAJAFGARH,28.554864,76.9412,LED,1,70,133,70,70,,,100421,6080
57,NZ-133-034,NAJAFGARH,28.554823,76.941271,LED,1,80,133,80,80,,,100423,3215
58,NZ-133-034,NAJAFGARH,28.554706,76.941457,LED,1,80,133,80,80,,,100426,2520
59,NZ-133-034,NAJAFGARH,28.554692,76.941485,LED,1,80,133,80,80,,,100436,5480
60,NZ-133-034,NAJAFGARH,28.554677,76.941512,LED,1,80,133,80,80,,,100437,2160
