SR. NO.,CCMS NO,Zone,Latitude,Longitude,Type of Light,No. Of Lights,Wattage,Ward No.,Wattage,Connected Load,,,
1,WZ-126-031,WEST,28.62318,77.056349,LED,1,72,126,72,72,,,
2,WZ-126-031,WEST,28.623172,77.056358,LED,1,72,126,72,72,,,
3,WZ-126-031,WEST,28.623405,77.056258,LED,1,72,126,72,72,,CCMS NO,Sum of Connected Load
4,WZ-126-031,WEST,28.623315,77.056462,LED,1,72,126,72,72,,BSES,42083
5,WZ-126-031,WEST,28.623129,77.056656,LED,1,72,126,72,72,,HVDS,12461
6,WZ-126-031,WEST,28.622922,77.056646,LED,1,72,126,72,72,,WZ-101-001,6129
7,WZ-126-031,WEST,28.622829,77.056668,LED,1,72,126,72,72,,WZ-101-002,12646
8,WZ-126-031,WEST,28.622829,77.056668,LED,1,72,126,72,72,,WZ-101-005,4140
9,WZ-126-031,WEST,28.622828,77.056668,LED,1,72,126,72,72,,WZ-101-007,7830
10,WZ-126-031,WEST,28.622822,77.056526,LED,1,72,126,72,72,,WZ-101-008,4203
11,WZ-126-031,WEST,28.622766,77.056474,LED,1,72,126,72,72,,WZ-101-010,13434
12,WZ-126-031,WEST,28.622663,77.056397,LED,1,72,126,72,72,,WZ-101-011,2503
13,WZ-126-031,WEST,28.622507,77.056353,LED,1,72,126,72,72,,WZ-101-015,6287
14,WZ-126-031,WEST,28.62247,77.056588,LED,1,72,126,72,72,,WZ-103-010,2016
15,WZ-126-031,WEST,28.622477,77.056605,LED,1,72,126,72,72,,WZ-103-011,2160
16,WZ-126-031,WEST,28.62252,77.056686,LED,1,72,126,72,72,,WZ-103-016,3888
17,WZ-126-031,WEST,28.622263,77.056697,LED,1,72,126,72,72,,WZ-103-025,4624
18,WZ-126-031,WEST,28.622264,77.056666,LED,1,72,126,72,72,,WZ-103-03A,4462
19,WZ-126-031,WEST,28.622295,77.056374,LED,1,72,126,72,72,,WZ-104-001,2448
20,WZ-126-031,WEST,28.622309,77.056344,LED,1,72,126,72,72,,WZ-104-003,4320
21,WZ-126-031,WEST,28.622143,77.056338,LED,1,72,126,72,72,,WZ-104-005,5600
