SR. NO.,CCMS NO,Zone,Ward No.,Latitude,Longitude,Type of Light,No. Of Lights,Wattage,Wattage,Connected Load,,,
1,SZ-171-011,SOUTH,171,28.535387,77.149774,LED,1,70,70,70,,,
2,SZ-171-011,SOUTH,171,28.535385,77.149779,LED,1,70,70,70,,,
4,SZ-171-011,SOUTH,171,28.535493,77.149842,LED,1,70,70,70,,,
5,SZ-171-011,SOUTH,171,28.535609,77.14978,LED,1,70,70,70,,,
6,SZ-171-011,SOUTH,171,28.53562,77.149718,LED,1,70,70,70,,CCMS NO,Sum of Connected Load
7,SZ-171-011,SOUTH,171,28.535624,77.149644,LED,1,70,70,70,,100010,10875
8,SZ-171-011,SOUTH,171,28.535813,77.149709,LED,1,70,70,70,,100169,2730
9,SZ-171-011,SOUTH,171,28.535777,77.149821,LED,1,70,70,70,,HVDS,7540
10,SZ-171-011,SOUTH,171,28.535767,77.149829,LED,1,70,70,70,,SZ-161-016,3520
11,SZ-171-011,SOUTH,171,28.535766,77.149837,LED,1,70,70,70,,SZ-161-017,5523
12,SZ-171-011,SOUTH,171,28.535823,77.14987,LED,1,70,70,70,,SZ-162-003,7411
13,SZ-171-011,SOUTH,171,28.535766,77.149941,LED,1,70,70,70,,SZ-162-006,9557
14,SZ-171-011,SOUTH,171,28.535768,77.149946,LED,1,70,70,70,,SZ-162-007,10951
15,SZ-171-011,SOUTH,171,28.535881,77.149636,LED,1,70,70,70,,SZ-162-009,11016
16,SZ-171-011,SOUTH,171,28.535974,77.149446,LED,1,70,70,70,,SZ-162-011,5428
17,SZ-171-011,SOUTH,171,28.536051,77.149246,LED,1,70,70,70,,SZ-162-012,3642
18,SZ-171-011,SOUTH,171,28.535805,77.149318,LED,1,70,70,70,,SZ-162-013,9088
19,SZ-171-011,SOUTH,171,28.535908,77.149174,LED,1,70,70,70,,SZ-162-014,9315
20,SZ-171-011,SOUTH,171,28.53604,77.149028,LED,1,70,70,70,,SZ-163-002,6500
21,SZ-171-011,SOUTH,171,28.536058,77.14899,LED,1,70,70,70,,SZ-163-026,6480
22,SZ-171-011,SOUTH,171,28.536225,77.148796,LED,1,70,70,70,,SZ-163-028,4430
23,SZ-171-011,SOUTH,171,28.536408,77.14876,LED,1,70,70,70,,SZ-164-022,4358
24,SZ-171-011,SOUTH,171,28.536116,77.148509,LED,1,70,70,70,,SZ-164-029,3360
25,SZ-171-011,SOUTH,171,28.536013,77.148388,LED,1,70,70,70,,SZ-165-001,3040
26,SZ-171-011,SOUTH,171,28.535789,77.148259,LED,1,70,70,70,,SZ-165-012,2506
27,SZ-171-011,SOUTH,171,28.535776,77.148235,LED,1,70,70,70,,SZ-165-021,2860
28,SZ-171-011,SOUTH,171,28.535851,77.148289,LED,1,70,70,70,,SZ-165-028,6782
29,SZ-171-011,SOUTH,171,28.535972,77.14866,LED,2,"35X1,70X1",70,140,,SZ-165-033,2480
30,SZ-171-011,SOUTH,171,28.5359,77.14879,LED,1,70,70,70,,SZ-165-034,3845
31,SZ-171-011,SOUTH,171,28.53589,77.148821,LED,2,70X2,70,140,,SZ-165-042,8143
32,SZ-171-011,SOUTH,171,28.535625,77.148805,LED,1,70,70,70,,SZ-166-001,4480
33,SZ-171-011,SOUTH,171,28.535501,77.148912,LED,1,70,70,70,,SZ-166-005,6668
34,SZ-171-011,SOUTH,171,28.53545,77.14903,LED,1,70,70,70,,SZ-166-006,4053
35,SZ-171-011,SOUTH,171,28.535438,77.14905,LED,1,70,70,70,,SZ-166-007,4540
36,SZ-171-011,SOUTH,171,28.535379,77.149246,LED,1,70,70,70,,SZ-166-008,4072
37,SZ-171-011,SOUTH,171,28.535369,77.149264,LED,1,70,70,70,,SZ-166-010,2798
38,SZ-171-011,SOUTH,171,28.535489,77.14921,LED,1,70,70,70,,SZ-166-012,6404
39,SZ-171-011,SOUTH,171,28.535568,77.149165,LED,1,70,70,70,,SZ-166-018,2880
40,SZ-171-011,SOUTH,171,28.535607,77.149124,LED,1,70,70,70,,SZ-166-021,6122
41,SZ-171-011,SOUTH,171,28.535668,77.149027,LED,1,70,70,70,,SZ-167-003,5600
42,SZ-171-011,SOUTH,171,28.53568,77.149012,LED,1,70,70,70,,SZ-167-009,5740
43,SZ-171-011,SOUTH,171,28.535702,77.148817,LED,1,70,70,70,,SZ-167-012,2080
44,SZ-171-011,SOUTH,171,28.53581,77.148595,LED,1,70,70,70,,SZ-167-013,4270
45,SZ-171-011,SOUTH,171,28.535596,77.148766,LED,1,70,70,70,,SZ-167-016,3145
46,SZ-171-011,SOUTH,171,28.535334,77.148758,LED,1,70,70,70,,SZ-167-017,4175
47,SZ-171-011,SOUTH,171,28.535119,77.148721,LED,1,70,70,70,,SZ-167-022,3760
48,SZ-171-011,SOUTH,171,28.535184,77.148574,LED,1,70,70,70,,SZ-167-023,3520
49,SZ-171-011,SOUTH,171,28.53509,77.148475,LED,1,70,70,70,,SZ-167-028,3062
50,SZ-171-011,SOUTH,171,28.535409,77.148299,LED,1,70,70,70,,SZ-167-030,3827
51,SZ-171-011,SOUTH,171,28.535721,77.148198,LED,1,70,70,70,,SZ-168-001,6844
52,SZ-171-011,SOUTH,171,28.535586,77.148424,LED,1,70,70,70,,SZ-168-002,5570
53,SZ-171-011,SOUTH,171,28.535554,77.148448,LED,1,70,70,70,,SZ-168-004,2154
54,SZ-171-011,SOUTH,171,28.535537,77.148483,LED,1,70,70,70,,SZ-168-005,5800
55,SZ-171-011,SOUTH,171,28.53549,77.148581,LED,1,35,35,35,,SZ-168-006,3119
56,SZ-171-011,SOUTH,171,28.535487,77.148571,LED,1,35,35,35,,SZ-168-013,6982
57,SZ-171-011,SOUTH,171,28.535318,77.148496,LED,4,140X4,140,560,,SZ-168-014,5986
58,SZ-171-011,SOUTH,171,28.534855,77.148744,LED,1,70,70,70,,SZ-168-020,7729
59,SZ-171-011,SOUTH,171,28.535011,77.148838,LED,1,70,70,70,,SZ-168-031,2330
60,SZ-171-011,SOUTH,171,28.534995,77.148839,LED,1,70,70,70,,SZ-168-040,1290
61,SZ-171-011,SOUTH,171,28.534826,77.148953,LED,1,70,70,70,,SZ-168-041,1678
62,SZ-171-011,SOUTH,171,28.534711,77.149142,LED,1,70,70,70,,SZ-169-001,3730
63,SZ-171-011,SOUTH,171,28.534519,77.14902,LED,1,70,70,70,,SZ-169-002,9991
64,SZ-171-011,SOUTH,171,28.53442,77.149097,LED,1,70,70,70,,SZ-169-003,3010
65,SZ-171-011,SOUTH,171,28.534267,77.149139,LED,1,70,70,70,,SZ-169-004,4708
66,SZ-171-011,SOUTH,171,28.534188,77.149298,LED,1,70,70,70,,SZ-169-005,4235
67,SZ-171-011,SOUTH,171,28.534186,77.149297,LED,1,70,70,70,,SZ-169-006,3365
68,SZ-171-011,SOUTH,171,28.534067,77.149439,LED,1,70,70,70,,SZ-169-007,3136
69,SZ-171-011,SOUTH,171,28.533982,77.149651,LED,1,70,70,70,,SZ-169-010,3700
70,SZ-171-011,SOUTH,171,28.533953,77.149706,LED,1,70,70,70,,SZ-169-011,3635
71,SZ-171-011,SOUTH,171,28.533892,77.149814,LED,1,70,70,70,,SZ-169-012,4240
72,SZ-171-011,SOUTH,171,28.533754,77.149731,LED,1,70,70,70,,SZ-169-014,5927
73,SZ-171-011,SOUTH,171,28.533677,77.14976,LED,1,70,70,70,,SZ-169-015,4851
74,SZ-171-011,SOUTH,171,28.533566,77.14981,LED,1,70,70,70,,SZ-169-016,6702
75,SZ-171-011,SOUTH,171,28.533534,77.149843,LED,1,70,70,70,,SZ-169-017,2130
76,SZ-171-011,SOUTH,171,28.533469,77.149815,LED,1,70,70,70,,SZ-169-019,3625
77,SZ-171-011,SOUTH,171,28.533189,77.149671,LED,1,70,70,70,,SZ-169-020,2640
78,SZ-171-011,SOUTH,171,28.532967,77.149487,LED,1,70,70,70,,SZ-169-022,7360
79,SZ-171-011,SOUTH,171,28.532863,77.149402,LED,1,70,70,70,,SZ-169-026,2522
80,SZ-171-011,SOUTH,171,28.532786,77.149303,LED,1,70,70,70,,SZ-169-028,6852
81,SZ-171-011,SOUTH,171,28.532748,77.149343,LED,1,70,70,70,,SZ-169-032,3674
82,SZ-171-011,SOUTH,171,28.53283,77.149097,LED,1,70,70,70,,SZ-169-033,3500
83,SZ-171-011,SOUTH,171,28.53283,77.149097,LED,1,70,70,70,,SZ-169-038,3760
84,SZ-171-011,SOUTH,171,28.532972,77.148847,LED,1,70,70,70,,SZ-170-016,7120
85,SZ-171-011,SOUTH,171,28.533054,77.148852,LED,1,70,70,70,,SZ-170-017,3120
86,SZ-171-011,SOUTH,171,28.53328,77.149108,LED,1,70,70,70,,SZ-170-018,4320
87,SZ-171-011,SOUTH,171,28.533332,77.149115,LED,1,70,70,70,,SZ-171-001,1520
88,SZ-171-011,SOUTH,171,28.533368,77.149128,LED,1,70,70,70,,SZ-171-002,5740
89,SZ-171-011,SOUTH,171,28.533395,77.149135,LED,1,70,70,70,,SZ-171-010,5303
90,SZ-171-011,SOUTH,171,28.533543,77.149272,LED,1,70,70,70,,SZ-171-011,9450
