SR. NO.,CCMS NO,Zone,Latitude,Longitude,Type of Light,No. Of Lights,Wattage,Ward No.,Wattage,Connected Load,,,
1,WZ-121-050,WEST,28.653427,77.040584,LED,1,72,121,72,72,,,
2,WZ-121-050,WEST,28.652748,77.040578,LED,1,72,121,72,72,,,
3,WZ-121-050,WEST,28.652744,77.040363,LED,1,72,121,72,72,,CCMS NO,Sum of Connected Load
4,WZ-121-050,WEST,28.652777,77.040356,LED,1,72,121,72,72,,HVDS,56664
5,WZ-121-050,WEST,28.65278,77.040356,LED,1,72,121,72,72,,WS-127-009,8530
6,WZ-121-050,WEST,28.652877,77.040332,LED,2,72X2,121,72,144,,WZ-101-009,8620
7,WZ-121-050,WEST,28.652998,77.040338,LED,1,72,121,72,72,,WZ-104-007,7020
8,WZ-121-050,WEST,28.653027,77.040334,LED,1,72,121,72,72,,WZ-104-008,2119
9,WZ-121-050,WEST,28.653164,77.040327,LED,1,72,121,72,72,,WZ-104-014,3600
10,WZ-121-050,WEST,28.653323,77.040319,LED,1,72,121,72,72,,WZ-105-018,4181
11,WZ-121-050,WEST,28.65342,77.040323,LED,1,72,121,72,72,,WZ-105-021,872
12,WZ-121-050,WEST,28.653403,77.040338,LED,2,72X2,121,72,144,,WZ-105-024,3777
13,WZ-121-050,WEST,28.652411,77.040918,LED,1,72,121,72,72,,WZ-106-018,8611
14,WZ-121-050,WEST,28.652395,77.040903,LED,1,72,121,72,72,,WZ-107-001,6820
15,WZ-121-050,WEST,28.652404,77.040761,LED,1,72,121,72,72,,WZ-107-003,6760
16,WZ-121-050,WEST,28.652384,77.040552,LED,1,72,121,72,72,,WZ-107-004,3686
17,WZ-121-050,WEST,28.652384,77.04036,LED,2,72X2,121,72,144,,WZ-107-008,1323
18,WZ-121-050,WEST,28.652393,77.040173,LED,1,72,121,72,72,,WZ-107-022,8634
19,WZ-121-050,WEST,28.652396,77.040169,LED,1,72,121,72,72,,WZ-107-026,3155
20,WZ-121-050,WEST,28.652395,77.04016,LED,1,72,121,72,72,,WZ-108-021,6053
21,WZ-121-050,WEST,28.652394,77.040084,LED,1,72,121,72,72,,WZ-109-020,10408
22,WZ-121-050,WEST,28.652419,77.039931,LED,1,72,121,72,72,,WZ-109-026,7951
23,WZ-121-050,WEST,28.652408,77.039828,LED,2,72X2,121,72,144,,WZ-109-030,11960
24,WZ-121-050,WEST,28.652395,77.039883,LED,1,72,121,72,72,,WZ-109-035,3461
25,WZ-121-050,WEST,28.652278,77.040286,LED,1,72,121,72,72,,WZ-109-036,11144
26,WZ-121-050,WEST,28.65216,77.040371,LED,1,72,121,72,72,,WZ-109-037,4016
27,WZ-121-050,WEST,28.652162,77.040299,LED,1,72,121,72,72,,WZ-109-038,4763
28,WZ-121-050,WEST,28.652535,77.040114,LED,1,72,121,72,72,,WZ-109-039,6967
29,WZ-121-050,WEST,28.652535,77.040114,LED,1,72,121,72,72,,WZ-109-041,7865
30,WZ-121-050,WEST,28.652527,77.040276,LED,2,72X2,121,72,144,,WZ-109-042,4716
31,WZ-121-050,WEST,28.652538,77.040326,LED,1,72,121,72,72,,WZ-110-017,7210
32,WZ-121-050,WEST,28.652548,77.040463,LED,1,72,121,72,72,,WZ-110-022,4164
33,WZ-121-050,WEST,28.652553,77.04047,LED,1,72,121,72,72,,WZ-112-010,5956
43,WZ-121-050,WEST,28.652607,77.039989,LED,1,72,121,72,72,,WZ-113-002,9632
44,WZ-121-050,WEST,28.6526,77.039973,LED,1,72,121,72,72,,WZ-113-006,5328
45,WZ-121-050,WEST,28.652582,77.039823,LED,1,72,121,72,72,,WZ-113-008,8856
46,WZ-121-050,WEST,28.652929,77.04087,LED,1,72,121,72,72,,WZ-114-002,5160
47,WZ-121-050,WEST,28.65299,77.040865,LED,1,72,121,72,72,,WZ-114-008,6044
48,WZ-121-050,WEST,28.653121,77.040853,LED,1,72,121,72,72,,WZ-114-011,10152
49,WZ-121-050,WEST,28.653267,77.040817,LED,2,72X2,121,72,144,,WZ-114-013,9144
50,WZ-121-050,WEST,28.653289,77.040804,LED,2,72X2,121,72,144,,WZ-115-014,7851
51,WZ-121-050,WEST,28.652741,77.041043,LED,1,72,121,72,72,,WZ-115-025,2402
52,WZ-121-050,WEST,28.652741,77.041155,LED,1,72,121,72,72,,WZ-115-026,2075
53,WZ-121-050,WEST,28.652753,77.041192,LED,1,72,121,72,72,,WZ-116-001,4788
54,WZ-121-050,WEST,28.652714,77.041212,LED,1,72,121,72,72,,WZ-116-008,3684
55,WZ-121-050,WEST,28.652582,77.041239,LED,1,72,121,72,72,,WZ-116-015,4187
56,WZ-121-050,WEST,28.652466,77.041255,LED,1,72,121,72,72,,WZ-116-017,6988
57,WZ-121-050,WEST,28.652401,77.041251,LED,1,72,121,72,72,,WZ-117-006,7513
58,WZ-121-050,WEST,28.652245,77.041233,LED,1,72,121,72,72,,WZ-117-007,11088
59,WZ-121-050,WEST,28.651994,77.041202,LED,1,72,121,72,72,,WZ-117-008,5616
60,WZ-121-050,WEST,28.651991,77.041168,LED,1,72,121,72,72,,WZ-117-009,2142
61,WZ-121-050,WEST,28.651916,77.041047,LED,1,72,121,72,72,,WZ-117-022,2416
62,WZ-121-050,WEST,28.651914,77.041038,LED,2,72X2,121,72,144,,WZ-117-029,5055
63,WZ-121-050,WEST,28.651931,77.040745,LED,1,72,121,72,72,,WZ-117-038,2396
64,WZ-121-050,WEST,28.651927,77.040734,LED,1,72,121,72,72,,WZ-117-040,1638
65,WZ-121-050,WEST,28.651948,77.040582,LED,1,72,121,72,72,,WZ-118-008,3064
66,WZ-121-050,WEST,28.651948,77.040573,LED,1,72,121,72,72,,WZ-118-011,5724
67,WZ-121-050,WEST,28.651933,77.040359,LED,1,72,121,72,72,,WZ-118-013,1512
68,WZ-121-050,WEST,28.651926,77.040159,LED,1,72,121,72,72,,WZ-118-021,6674
69,WZ-121-050,WEST,28.651917,77.04007,LED,2,72X2,121,72,144,,WZ-118-030,2256
70,WZ-121-050,WEST,28.651915,77.039975,LED,1,72,121,72,72,,WZ-118-031,2592
71,WZ-121-050,WEST,28.651915,77.039971,LED,1,72,121,72,72,,WZ-119-005,2592
72,WZ-121-050,WEST,28.651928,77.039831,LED,1,72,121,72,72,,WZ-119-007,3024
73,WZ-121-050,WEST,28.651838,77.039793,LED,1,72,121,72,72,,WZ-119-044,531
74,WZ-121-050,WEST,28.651814,77.039778,LED,2,72X2,121,72,144,,WZ-120-001,6939
75,WZ-121-050,WEST,28.651828,77.039665,LED,1,72,121,72,72,,WZ-120-009,2952
76,WZ-121-050,WEST,28.65184,77.03948,LED,1,72,121,72,72,,WZ-120-011,6768
